,,Sri Dharani Wines
,,Closing Stock, (ALL PACKS)
,,As on: 03/04/2026
Sl.,Item,Brand,Pack,Code,BPC,MRP,Godown,Shop,BarCode
275,BRANDY,MCDOWELLS PLATINUM BRANDY,750,280.1,12,430.00,0.000,0.000,""
276,BRANDY,MCLOUIS ROYAL VSOP BRANDY,750,336.1,12,2160.00,0.000,0.000,""
277,BRANDY,MCLOUIS ROYAL XO BRANDY,750,332.1,12,2400.00,0.000,0.000,"5060587360008"
278,BRANDY,MEUKOW VS COGNAC,700,534.1,6,8008.00,0.000,0.000,"32571501002288"
279,BRANDY,MEUKOW VSOP COGNAC,700,532.1,6,8457.00,0.000,0.000,""
280,BRANDY,MEUKOW XPRESSO LIQUEUR,500,539.1,6,5522.00,0.000,0.000,"3257150102178"
281,BRANDY,MILESTONE VSOP BRANDY,750,743.1,12,479.00,0.000,0.000,"8904299000692"
282,BRANDY,MILESTONE VSOP BRANDY,375,743.2,24,240.00,0.000,0.000,"8904299000685"
283,BRANDY,MILESTONE VSOP BRANDY,180,743.3,48,117.00,0.000,0.000,""
284,BRANDY,MONARCH EXPERTLY CRAFT BY,750,528.1,12,3554.00,0.000,0.001,""
285,BRANDY,MONT CASTEL FRENCH BRANDY,750,251.1,12,560.00,0.000,0.000,"8904014803034"
286,BRANDY,MONT CASTEL FRENCH BRANDY,180,251.3,48,114.00,0.000,0.000,""
287,BRANDY,MONTRELL VSOP BRANDY,750,365.1,12,834.00,0.000,0.000,"8906037280755"
288,BRANDY,MORKOS VSOP FRENCH BRANDY,375,173.2,24,300.00,0.000,0.000,""
289,BRANDY,MORKOS VSOP FRENCH BRANDY,90,173.7,96,76.00,0.000,0.000,""
290,BRANDY,MORPHEUS BLUE XO BRANDY,750,228.1,12,1160.00,2.000,0.000,"8901556184829"
291,BRANDY,MORPHEUS BLUE XO BRANDY,375,228.2,24,580.00,0.000,1.010,"8901556184836"
292,BRANDY,MORPHEUS BLUE XO BRANDY,180,228.3,48,290.00,1.024,0.003,"8901556184843"
293,BRANDY,MORPHEUS BLUE XO BRANDY,60,228.6,150,95.00,0.000,0.023,"8901556184881"
294,BRANDY,MORPHEUS XO BRANDY,750,99.1,12,900.00,1.000,0.007,"8902146433723"
295,BRANDY,MORPHEUS XO BRANDY,375,99.2,24,450.00,0.000,0.021,"8902146433730"
296,BRANDY,MORPHEUS XO BRANDY,180,99.3,48,225.00,1.000,0.037,"8902146433747"
297,BRANDY,MORPHEUS XO BRANDY,60,99.6,150,77.00,0.000,0.000,"8902146433754"
298,BRANDY,NEW KING LOUIS BRANDY,750,338.1,12,600.00,0.000,0.000,""
299,BRANDY,NEW KING LOUIS BRANDY,375,338.2,24,300.00,0.000,0.000,""
300,BRANDY,NEW KING LOUIS BRANDY,180,338.3,48,150.00,0.000,0.000,""
301,BRANDY,NEW KING LOUIS BRANDY,90,338.7,100,72.00,0.000,0.000,""
302,BRANDY,NEW SUPER GRAPE BRANDY,500,95.1,18,160.00,0.000,0.005,""
303,BRANDY,NO.1MCDOWELLS GOLD BRANDY,1000,68.4,9,585.00,3.000,1.007,"8906111450555"
304,BRANDY,NO.1MCDOWELLS GOLD BRANDY,750,68.1,12,440.00,3.000,0.005,"8906111450548"
305,BRANDY,NO.1MCDOWELLS GOLD BRANDY,500,68.5,18,305.00,5.000,0.015,"8906111450524"
306,BRANDY,NO.1MCDOWELLS GOLD BRANDY,375,68.2,24,220.00,3.000,0.018,"8906111450517"
307,BRANDY,NO.1MCDOWELLS GOLD BRANDY,180,68.3,48,118.00,12.000,1.008,"8906111454706"
308,BRANDY,NO.1MCDOWELLS GOLD BRANDY,90,68.7,96,58.00,9.000,3.023,"8906111450487"
309,BRANDY,NO1MCD GOLD IND BDY TETRA,180,116.3,48,108.00,0.000,0.000,"8906111454874"
310,BRANDY,ORO XO PREMIUM BRANDY,750,216.1,12,864.00,0.000,0.000,""
311,BRANDY,ORO XO PREMIUM BRANDY,180,216.3,48,216.00,0.000,0.000,""
312,BRANDY,ORO XO PREMIUM BRANDY,60,216.6,150,72.00,0.000,0.000,""
313,BRANDY,PAUL JOHN 100 BRANDY,750,210.1,12,12500.00,0.000,0.000,"8904014802471"
314,BRANDY,PERE DAVID VSOP BDY,1000,489.4,12,1896.00,0.000,0.000,""
315,BRANDY,PREMIER DOCTOR BRANDY,500,611.5,18,150.00,0.000,0.000,"825541001107"
316,BRANDY,PREMIER DOCTOR BRANDY,375,611.2,24,114.00,0.000,0.000,"825541000636"
317,BRANDY,PREMIER DOCTOR BRANDY,180,611.3,48,58.00,0.000,0.000,""
318,BRANDY,PREMIER DOCTOR BRANDY,90,611.7,96,30.00,0.000,0.000,""
319,BRANDY,REGIS MORE BRANDY,1000,437.4,12,2276.00,0.000,0.000,""
320,BRANDY,REMY MARTIN LOUIS X111,700,584.1,3,0.00,0.000,0.000,""
321,BRANDY,REMY MARTIN VSOP BRANDY,1000,175.3,12,15623.00,0.000,0.000,"3024482295126"
322,BRANDY,REMY MARTIN VSOP BRANDY,700,175.1,12,11234.00,0.000,0.002,""
323,BRANDY,REMY MARTIN XO BRANDY,700,177.1,12,25787.00,0.000,0.000,""
324,BRANDY,RENOIR VSOP BRANDY,750,30.1,12,378.00,0.000,0.000,""
325,BRANDY,RENOIR VSOP BRANDY,180,30.3,48,96.00,0.000,0.000,"8904011608151"
326,BRANDY,RENOIR VSOP BRANDY,90,30.7,96,48.00,0.000,0.000,"8904011698107"
327,BRANDY,ROULETTE XO GRAPE BRANDY,750,370.1,12,1132.00,0.000,0.000,""
328,BRANDY,ROULETTE XO GRAPE BRANDY,180,370.3,48,258.00,0.000,0.000,""
329,BRANDY,ROYAL MARTIN XO BRANDY,750,71.1,12,1200.00,0.000,0.000,""
330,BRANDY,S BRANDY XO NAPOLEON,750,642.1,12,708.00,0.000,0.000,""
331,BRANDY,SAINT LOUIS BRANDY VSOP,1000,484.1,12,3489.00,0.000,0.003,"3278481003392"
332,BRANDY,SAINT LOUIS GRAPE BDY XO,700,493.1,12,3279.00,0.000,0.000,"3278481534391"
333,BRANDY,SAINT LOUIS PURE BRANDY,700,726.1,12,2490.00,0.000,0.000,"3760293446226"
334,BRANDY,ST BERNARD NAPOLEON BDY,1000,490.4,12,1800.00,0.000,0.000,""
335,BRANDY,ST REMY XO FRENCH BRANDY,700,485.1,12,3870.00,0.000,0.000,"3161420002467"
336,BRANDY,STREMY VSOP FRENCH BRANDY,1000,295.4,12,3923.00,0.000,0.000,"3161420000166"
337,BRANDY,STREMY VSOP FRENCH BRANDY,700,295.1,12,2850.00,0.000,0.004,"3161420000203"
338,BRANDY,STREMY VSOP FRENCH BRANDY,375,295.2,24,1661.00,0.000,0.011,"3035540010155"
339,BRANDY,SUPER SELECT BDY,500,31.5,18,168.00,0.000,0.000,""
340,BRANDY,SUPER SELECT BDY,375,31.2,24,0.00,0.000,0.000,""
341,BRANDY,SUPER SELECT BDY,180,31.3,48,63.00,0.000,0.000,""
342,BRANDY,SUPER SELECT BDY,90,31.7,96,34.00,0.000,0.000,""
343,BRANDY,SYRENS NAPOLEON BRANDY,1000,307.4,12,2256.00,0.000,0.000,"3162040160001"
344,BRANDY,TETRA OLD ADMIRAL BRANDY,180,312.3,48,80.00,0.000,0.000,""
345,BRANDY,THE AUTO CYCLE BRANDY,750,710.1,12,240.00,0.000,0.000,""
346,BRANDY,THE AUTO CYCLE BRANDY,90,710.7,96,30.00,0.000,0.000,"890401601473"
347,BRANDY,THE WAREHOUSE VSOP BRANDY,375,813.2,24,240.00,0.000,0.000,""
348,BRANDY,THE WAREHOUSE VSOP BRANDY,180,813.3,48,120.00,0.000,0.000,"8904011609653"
349,BRANDY,TORRES 5 BRANDY,700,749.1,12,2285.00,0.000,0.000,"8410113000019"
350,BRANDY,VECCHIA ROMAGNA CLASS BDY,700,475.1,12,2710.00,0.000,0.000,"8000330125079"
351,BRANDY,VICTOR FAU NAP P G BDY VS,750,235.1,12,2541.00,0.000,0.000,"3162040160148"
352,BRANDY,VIN DR'S SPL BRANDY,750,447.1,12,240.00,2.000,0.006,""
353,BRANDY,VIN DR'S SPL BRANDY,180,447.3,48,60.00,1.000,0.011,""
354,BRANDY,VIN DR'S SPL BRANDY,90,447.7,96,30.00,2.000,0.045,""
355,BRANDY,VIN JOCKEY BRANDY,750,56.1,12,318.00,0.000,0.000,""
356,BRANDY,VIN JOCKEY BRANDY,375,56.2,24,162.00,0.000,0.000,""
357,BRANDY,VIN JOCKEY BRANDY,180,56.3,48,78.00,0.000,0.000,"8904011607154"
358,BRANDY,VIN JOCKEY BRANDY,90,56.7,96,30.00,0.000,0.000,"8904011607192"
359,BRANDY,VINBROS NAPOLEON VSOP BDY,750,946.1,12,378.00,0.000,0.000,""
360,BRANDY,WANTED 999 VSOP BRANDY,750,555.1,12,544.00,0.000,0.000,""
361,BRANDY,WELL MOUNT BRANDY,750,269.1,12,1583.00,0.000,0.011,""
362,BRANDY,ZIMRA XTRA RES FRENCH BDY,750,315.1,12,1488.00,0.000,0.000,"8904011614428"
363,BRANDY,ZIMRA XTRA RES FRENCH BDY,60,315.6,150,114.00,0.000,0.000,""
364,GIN,BEEFEATER LONDON DRY GIN,750,121.1,12,2200.00,0.000,0.000,""
365,GIN,BLUE RIBAND P GIN CITRUS,750,758.1,12,483.00,0.000,0.000,"8906111453587"
366,GIN,BLUE RIBAND P GIN CITRUS,375,758.2,24,242.00,0.000,0.000,""
367,GIN,BLUE RIBAND P GIN CITRUS,180,758.3,48,118.00,-0.024,0.024,""
368,GIN,BLUE RIBAND PRE EXTRA GIN,750,759.1,12,470.00,0.000,0.000,"8906111453648"
369,GIN,BLUE RIBAND PRE EXTRA GIN,375,759.2,24,237.00,0.000,0.000,""
370,GIN,BLUE RIBAND PRE EXTRA GIN,180,759.3,48,114.00,0.000,0.022,"8906111453624"
371,GIN,BLUE RIBAND PREM DUET GIN,750,760.1,12,483.00,0.000,0.000,"8906111453617"
372,GIN,BLUE RIBAND PREM DUET GIN,375,760.2,24,242.00,0.000,0.000,""
373,GIN,BLUE RIBAND PREM DUET GIN,180,760.3,48,118.00,0.000,0.000,""
374,GIN,BOMBAY SAPP LONDON GIN,750,189.1,12,2373.00,0.000,0.000,"7640175740047"
375,GIN,BOMBAY SAPP LONDON GIN,200,189.3,12,771.00,0.000,0.000,""
376,GIN,BOMBAY SAPP PRE CRU GIN,700,188.1,6,4200.00,0.000,0.000,"7640175743642"
377,GIN,BOMBAY SAPP SUNSET GIN,750,187.1,12,2500.00,0.000,0.000,""
378,GIN,BURNETT'S LONDON DRY GIN,750,262.1,12,2480.00,0.000,0.000,""
379,GIN,CHAMELEON CLR CHANGE GIN,750,139.1,12,1050.00,0.000,0.000,""
380,GIN,CHERRAPUNJI EAS CRAFT GIN,750,420.1,12,3200.00,0.000,0.000,"8908022371004"
381,GIN,GIG GREAT INDIAN GIN,750,426.1,12,1200.00,0.000,0.000,"8906160521374"
382,GIN,GIG GREAT INDIAN GIN,180,426.3,48,296.00,0.000,0.000,""
383,GIN,GIG GREAT INDIAN GIN,60,426.6,150,96.00,0.000,0.000,"8906160521398"
384,GIN,GIG GREEN APPLE GIN,750,434.1,12,1200.00,0.000,0.000,"8906160520063"
385,GIN,GIG GREEN APPLE GIN,60,434.5,150,96.00,0.000,0.000,"8906160521459"
386,GIN,GIG NAGPUR ORANGE GIN,750,427.1,12,1200.00,0.000,0.000,"8906131970200"
387,GIN,GIG NAGPUR ORANGE GIN,180,427.3,48,296.00,0.000,0.000,""
388,GIN,GIG NAGPUR ORANGE GIN,60,427.6,150,96.00,0.000,0.000,"8906160521428"
389,GIN,GINARTE DRY GIN,700,957.1,6,6520.00,0.000,0.000,"8003405008789"
390,GIN,GORDONS LONDON DRY GIN,750,527.1,12,1959.00,0.000,0.000,"5000289934237"
391,GIN,GREATER THAN LONDON GIN,750,275.1,12,1204.00,0.000,0.000,""
392,GIN,GREATER THAN LONDON GIN,180,275.4,48,300.00,0.000,0.000,"8908009319302"
393,GIN,HAPUSA HIMALAYAN DRY GIN,750,276.1,12,2304.00,0.000,0.001,""
394,GIN,HENDRICK'S GIN,700,676.1,6,4250.00,0.000,0.000,"5010327755014"
395,GIN,HICHKI GIN,750,814.1,12,1014.00,0.000,0.000,"8908000491106"
396,GIN,JAISALMER CRAFT IND GIN,750,415.1,12,3060.00,0.000,0.002,"8902147019520"
397,GIN,JAISALMER CRAFT IND GIN,180,415.3,48,765.00,0.000,0.000,"8901556001416"
398,GIN,JAISALMER CRAFT IND GIN,60,415.4,150,240.00,0.000,0.000,"8901556001423"
399,GIN,JIN JIJI DARJEELING GIN,750,128.1,12,1860.00,0.000,0.000,"8906166380135"
400,GIN,JIN JIJI INDIA DRY GIN,750,120.1,12,1260.00,0.000,0.000,"8906166380128"
401,GIN,KINGSTON DRY GIN,1000,685.1,12,1818.00,0.000,0.000,"3012993068759"
402,GIN,KUMAON&I HIM ART DRY GIN,700,148.1,12,2555.00,0.000,0.000,"8906166380098"
403,GIN,MCDOWELLS PREMIUM DRY GIN,750,155.1,12,963.00,0.005,0.001,"8902967501236"
404,GIN,MCDOWELLS PREMIUM DRY GIN,180,155.3,48,239.00,0.000,0.023,"8902967501243"
405,GIN,NISAKI INDIAN DRY GIN,750,570.1,12,2210.00,0.000,0.005,"8908023428004"
406,GIN,ROKU GIN,700,540.1,6,4260.00,0.000,0.001,"4901777305359"
407,GIN,ROULETTE LONDON DRY GIN,750,607.1,12,1160.00,0.000,0.000,""
408,GIN,SAMSARA INDIAN GIN,750,577.1,12,1500.00,0.000,0.000,""
409,GIN,SAMSARA LEMON SECRET GIN,750,456.1,12,1740.00,0.000,0.000,""
410,GIN,SAMSARA PINK GIN,750,578.1,12,1740.00,0.000,0.000,""
411,GIN,SATIWA B V F H CRAFT GIN,750,130.1,12,1800.00,0.000,0.000,"8904018802521"
412,GIN,SATIWA B V F H CRAFT GIN,180,130.3,48,450.00,0.000,0.000,"8904018805713"
413,GIN,SATIWA HEMP CRAFT GIN,750,89.1,12,1600.00,0.000,0.000,"8904018800787"
414,GIN,SATIWA HEMP CRAFT GIN,180,89.3,48,400.00,0.000,0.000,"8904018805683"
415,GIN,SATIWA PASSION GIN,750,90.1,12,1800.00,0.000,0.000,"8904018801319"
416,GIN,SATIWA PASSION GIN,180,90.3,48,450.00,0.000,0.000,"8904018805706"
417,GIN,SEQER HANDCRAFTED DRY GIN,750,781.1,12,1800.00,0.000,0.000,""
418,GIN,SEQER MULBERRY GIN,750,782.1,12,2400.00,0.000,0.000,""
419,GIN,STRANGER & SONS GIN,700,254.1,12,1950.00,0.000,0.000,""
420,GIN,TANQRY RANGPUR LIME D GIN,700,86.1,6,3208.00,0.000,0.000,"5000291025930"
421,GIN,TANQUERAU MALACCA DIS GIN,700,83.1,6,3208.00,0.000,0.000,"5000291023387"
422,GIN,TANQUERAY LONDON DRY GIN,750,525.1,12,2184.00,0.000,0.000,"5000291020706"
423,GIN,TANQUERAY NO.TEN B D GIN,1000,526.1,12,5315.00,0.000,0.000,"5000281016689"
424,GIN,THE BOTANIST ISLAY DRYGIN,700,729.1,6,6291.00,0.000,0.000,"5055807414203"
425,GIN,THE WAREHOUSE GIN,750,815.1,12,432.00,0.000,0.000,""
426,GIN,THE WAREHOUSE GIN,375,815.2,24,216.00,0.000,0.000,"8904011603644"
427,GIN,THE WAREHOUSE GIN,180,815.3,48,108.00,0.000,0.000,""
428,GIN,TICKLE DRY GIN,750,277.1,12,1040.00,0.000,0.000,"8906037280380"
429,GIN,TOM & MEW LONDON DRY GIN,700,936.1,6,2040.00,0.000,0.000,"8908009077172"
430,GIN,VANAHA ARTISAN FOREST GIN,750,537.1,12,2830.00,0.000,0.000,"8908025532006"
431,GIN,VIN SOUTH SPICE GIN DUET,750,284.1,12,402.00,0.000,0.000,""
432,GIN,VIN SOUTH SPICE GIN DUET,375,284.2,24,204.00,0.000,0.000,""
433,GIN,VIN SOUTH SPICE GIN DUET,180,284.3,48,102.00,0.000,0.000,"8904011604351"
434,GIN,VIN SOUTHERN SPICE MATURE,750,714.1,12,402.00,0.000,0.000,""
435,GIN,VIN SOUTHERN SPICE MATURE,375,714.2,24,204.00,0.000,0.000,""
436,GIN,VIN SOUTHERN SPICE MATURE,180,714.3,48,102.00,0.000,0.000,"8904011604252"
437,LIQUEUR,AMARO MONTENEGRO,750,546.1,12,3832.00,0.000,0.000,"8000330012317"
438,LIQUEUR,AMARULA FRUIT CREAM,750,208.1,12,3636.00,0.000,0.000,"6001495062508"
439,LIQUEUR,APEROL,700,687.1,6,0.00,0.000,0.000,""
440,LIQUEUR,BAILEYS IRISH CREAM,750,333.1,12,2661.00,0.006,0.000,"5011013100132"
441,LIQUEUR,BAILEYS SCRUMPTIOUS SALTE,750,170.1,12,2919.00,0.004,0.002,"5011013938339"
442,LIQUEUR,BANDARFUL I C B C LIQUEUR,750,123.1,12,1806.00,0.000,0.000,"8906166380166"
443,LIQUEUR,BARDINET COFFEE SPIRIT DK,700,21.1,6,2350.00,0.000,0.000,""
444,LIQUEUR,BONGA BONGA MYSTERY LIQ,750,565.1,6,2640.00,0.000,0.000,"8906169710335"
445,LIQUEUR,CAMPARI MILANO BITTER,750,690.1,12,2880.00,0.000,0.000,""
446,LIQUEUR,CASHEW FENNY PINEAPPLE,180,246.1,48,600.00,0.000,0.009,"8906018973829"
447,LIQUEUR,COINTREAU,1000,296.4,12,5348.00,0.000,0.000,"3035542001908"
448,LIQUEUR,COINTREAU,700,296.1,12,3850.00,0.000,0.000,""
449,LIQUEUR,JAGERMEISTER,750,557.1,12,4013.00,0.006,0.004,"4067700012586"
450,LIQUEUR,JAGERMEISTER,375,557.2,24,2132.00,0.000,0.000,"4067700013484"
451,LIQUEUR,JAGERMEISTER,50,557.6,120,384.00,0.000,0.000,"42427216"
452,LIQUEUR,JAKOB STEINER LIQUEUR,700,949.1,6,2999.00,0.000,0.000,""
453,LIQUEUR,KAHLUA,750,195.1,12,2110.00,0.000,0.000,"7610594252223"
454,LIQUEUR,MALIBU LIQUEUR,700,41.1,6,2360.00,0.000,0.000,"5010284100018"
455,LIQUEUR,MEUKOW VANILLA COGNAC LIQ,500,379.1,6,5542.00,0.000,0.000,""
456,LIQUEUR,MOLINARI SAMBUCA EXTRA,750,203.1,12,3711.00,0.000,0.000,"8002095200046"
457,LIQUEUR,SELECT APERITIVO,700,380.1,12,2572.00,0.000,0.000,""
458,LIQUEUR,THE W H CHOCOLATE LIQUEUR,750,717.1,12,510.00,0.000,0.000,""
459,LIQUEUR,THE W H COFFEE LIQUEUR,750,716.1,12,510.00,0.000,0.000,""
460,LIQUEUR,TICONNIE COFFEE LIQUEUR,750,158.1,12,960.00,0.000,0.000,"8906037280144"
461,LIQUEUR,TICONNIE PEACHY LIQUEUR,750,159.1,12,960.00,0.000,0.000,"8906037280892"
462,LIQUEUR,TICONNIE SAMBUCA LIQUEUR,750,160.1,12,1175.00,0.000,0.000,"8906037280724"
463,LIQUEUR,TICONNIE TRIPLE SEC LIQ,750,168.1,12,1175.00,0.000,0.000,"8906037280731"
464,LIQUEUR,TRIPLE SEC LIQUEUR,750,408.1,12,1670.00,0.000,0.000,"3162044111689"
465,OTHERS,BEATS ENERGE DRINK,250,337.1,12,110.00,0.000,0.000,""
466,OTHERS,CLOTH BAG,PLAI,15.1,50,10.00,0.000,0.000,""
467,OTHERS,CLOTH BAG,PRN,15.2,50,5.00,0.000,0.000,""
468,OTHERS,COCKTAIL MIX,250,211.1,24,99.00,0.000,0.000,""
469,OTHERS,COOLDRINKS,740,5.1,24,40.00,0.000,0.000,"8901764012709"
470,OTHERS,GINGER ALE,300,531.1,24,60.00,0.000,0.000,"8901764211256"
471,OTHERS,HURRICAN ENERGY DRINK,250,329.1,24,60.00,0.000,0.000,""
472,OTHERS,ICE ADE COCKTAIL MIXTURE,230,50.1,1,150.00,0.000,0.000,""
473,OTHERS,KROMBACHER ENERGY DRINK,330,11.1,24,125.00,0.000,0.000,""
474,OTHERS,MINT MOJITO,250,981.1,24,75.00,0.000,0.000,""
475,OTHERS,PACKAGED DRINKING WATER,1000,1.1,15,18.00,0.000,0.000,"8901764082405"
476,OTHERS,PACKING AIR BAG,PLAI,67.1,1,30.00,0.000,0.000,""
477,OTHERS,RED BULL ENERGY DRINK,250,163.1,24,125.00,0.000,0.000,"90162602"
478,OTHERS,REDBULL GREEN EDITION,250,316.1,24,125.00,0.000,0.000,"90474927"
479,OTHERS,REDBULL RED EDITION,250,317.1,24,125.00,0.000,0.000,"90448249"
480,OTHERS,REDBULL SUGAR FREE,250,319.1,24,125.00,0.000,0.000,"90162800"
481,OTHERS,REDBULL YELLOW EDITION,250,318.1,24,125.00,0.000,0.000,"90435935"
482,OTHERS,SODA,750,4.1,24,20.00,0.000,0.000,"8901764072277"
483,OTHERS,TONIC WATER,300,980.1,24,60.00,0.000,0.000,"8901764241253"
484,OTHERS,TONIC WATER,250,980.2,24,80.00,0.000,0.000,""
485,OTHERS,TROPICANA APPLE,1000,801.1,12,105.00,0.000,0.000,""
486,OTHERS,TROPICANA CRANBERRY,1000,802.1,12,135.00,0.000,0.000,""
487,OTHERS,TROPICANA LITCHI,1000,803.1,12,120.00,0.000,0.000,""
488,OTHERS,TROPICANA ORANGE,1000,804.1,12,120.00,0.000,0.000,""
489,OTHERS,TROPICANA PINEAPPLE,1000,806.1,12,115.00,0.000,0.000,""
490,OTHERS,TROPICANA POMEGRANATE,1000,805.1,12,123.00,0.000,0.000,""
491,RTD,BACARDI + CRANBERRY,275,136.1,24,110.00,2.000,1.022,"8902136512049"
492,RTD,BACARDI + LIMONADE,275,478.1,24,110.00,2.000,0.003,"8902136511042"
493,RTD,BACARDI + ORANGE,275,364.1,24,110.00,3.000,0.014,"8902136513046"
494,RTD,BREEZER BLACKBERRY,275,77.1,24,110.00,3.000,0.016,"8902136503023"
495,RTD,BREEZER BLUEBERRY,275,212.1,24,110.00,3.000,0.013,"8902136505027"
496,RTD,BREEZER CANBERRY,275,45.1,24,110.00,4.000,0.000,"8902136502026"
497,RTD,BREEZER JAMACIAN,275,96.1,24,110.00,2.000,1.009,"8902136504020"
498,RTD,BREEZER MANGO,275,340.1,24,110.00,2.000,0.020,"8905664282026"
499,RTD,BREEZER WATER MELON,275,215.1,24,110.00,1.000,1.006,"8902136576027"
500,RTD,BRO CODE KRAFT SEKT,330,74.1,24,230.00,0.000,1.000,"8908009077202"
501,RTD,BRO RED CARMINE,330,568.1,24,230.00,0.000,0.000,"8906169710151"
502,RTD,BROSE BUZZ,330,82.1,24,246.00,0.000,0.000,"8906169710236"
503,RTD,DISCO PANDA HOPPY MAGIC,375,462.1,24,222.00,0.000,0.000,"8906160520254"
504,RTD,DISCO PANDA HOPPY MANIA,330,800.1,24,222.00,0.000,0.000,""
505,RTD,DISCO PANDA LEMON SHANDY,330,810.1,24,228.00,0.000,0.000,""
506,RTD,DISCO PANDA MANGO TANGO,330,807.1,24,228.00,0.000,0.000,""
507,RTD,DISCO PANDA PILSEN STRONG,375,444.2,24,180.00,0.000,0.000,""
508,RTD,FLOAT MASALA LEMONADE,275,547.1,24,110.00,1.000,1.000,"8908021834173"
509,RTD,FLOAT SPARKLING ORANGE,275,548.1,24,110.00,1.000,1.000,"8908021834227"
510,RTD,FLOAT VODKA CRANBERRY,275,549.1,24,110.00,1.000,0.021,"8908021834210"
511,RTD,FRATELLI SHOT GUN,330,550.2,24,225.00,0.000,0.000,"8906073181801"
512,RTD,INACAN COLLINS,250,919.1,24,160.00,0.000,0.000,""
513,RTD,INACAN GIN,250,921.1,24,160.00,0.000,0.000,""
514,RTD,INACAN LATTE,250,878.1,24,160.00,0.000,0.000,""
515,RTD,INACAN LIIT,250,930.1,24,160.00,0.000,0.000,""
516,RTD,INACAN MULE,250,933.1,24,160.00,0.000,0.000,""
517,RTD,JACK DANIELS TENNESS COLA,330,923.1,24,279.00,0.000,0.000,""
518,RTD,NOI SPRITZER CLASSICO CAN,250,844.1,24,172.00,0.000,0.000,"8906073181238"
519,RTD,O BE PEPPY LONG ICED TEA,330,928.1,24,160.00,0.000,0.000,""
520,RTD,O BE PLUCKY WHISKEY SOUR,330,925.1,24,120.00,0.000,0.000,""
521,RTD,O BE POISED GIN AND TONIC,330,927.1,24,130.00,0.000,0.000,""
522,RTD,O BE PRIMO COSMOPOLITAN,330,926.1,24,130.00,0.000,0.000,""
523,RTD,O BE SPIRITED MOJITO,330,924.1,24,130.00,0.000,0.000,""
524,RTD,OCHRE SB NUTTY BERRY RUM,750,768.1,12,1380.00,1.000,0.001,""
525,RTD,PLUNGE BERRY BOMB,330,761.1,24,135.00,0.000,0.000,"8908021834104"
526,RTD,PLUNGE LEMON MINT MOJITO,330,762.1,24,135.00,0.000,0.000,"8908021834111"
527,RTD,PLUNGE MANGO GIN,330,763.1,24,135.00,0.000,0.000,"8908021834128"
528,RTD,PLUNGE ORANGE SCREWDRIVER,330,764.1,24,135.00,0.000,0.000,"8908021834081"
529,RTD,PLUNGE TROPICAL PINACOLDA,330,765.1,24,135.00,0.000,0.000,"8908021834067"
530,RTD,PLUNGE WATERMELON MINT,330,766.1,24,135.00,0.000,0.000,"8908021834074"
531,RTD,PURSUE ELDERFLOWER& YUZU,500,419.4,24,164.00,0.000,0.000,"8906113542005"
532,RTD,PURSUE ELDERFLOWER& YUZU,330,419.1,12,134.00,0.000,0.000,""
533,RTD,PURSUE MANGO&CHIL SELTZER,500,413.4,24,164.00,0.000,0.000,""
534,RTD,PURSUE MANGO&CHIL SELTZER,330,413.1,12,134.00,0.000,0.000,""
535,RTD,PURSUE MOSAMBI SELTZER,500,414.4,24,164.00,0.000,0.000,"8906113542111"
536,RTD,PURSUE MOSAMBI SELTZER,330,414.1,12,134.00,0.000,0.000,""
537,RTD,PURSUE PEACH&TEA SELTZER,500,411.4,24,164.00,0.000,0.000,""
538,RTD,PURSUE PEACH&TEA SELTZER,330,411.1,12,134.00,0.000,0.000,""
539,RTD,PURSUE STRAWBERRY SELTZER,500,412.4,24,164.00,0.000,0.000,"8906113542128"
540,RTD,PURSUE STRAWBERRY SELTZER,330,412.1,12,134.00,0.000,0.000,""
541,RTD,SONIC BLACK,330,571.1,24,174.00,0.000,0.000,""
542,RTD,TILT BUBBLY CAN,250,847.1,24,209.00,0.000,0.000,"8906073181221"
543,RTD,TILT BUBBLY ROSE CAN,250,868.1,24,209.00,0.000,0.000,"8906073181214"
544,RTD,TILT RED CAN,250,848.1,24,209.00,0.000,0.000,""
545,RTD,TILT WHITE CAN,250,861.1,24,209.00,0.000,0.000,"8906073181207"
546,RUM,1965 LEMON DASH PREM RUM,750,344.1,12,900.00,0.000,0.000,"8907801018628"
547,RUM,1965 LEMON DASH PREM RUM,180,344.3,48,225.00,0.000,0.000,"8907801018642"
548,RUM,ALEJANDRO CRAFT DARK RUM,750,362.1,12,1150.00,0.000,0.000,"8906037281325"
549,RUM,AMRUT TWO INDIES RUM,750,996.1,12,1350.00,0.000,0.000,"8901193501232"
550,RUM,ASURA XXX RUM,750,423.1,12,480.00,0.000,0.000,"8908010285122"
551,RUM,ASURA XXX RUM,180,423.3,48,120.00,0.000,0.000,"8908010285146"
552,RUM,BACARDI ANEJO 4 YRS RUM,750,241.1,12,2631.00,0.000,0.000,"080480983383"
553,RUM,BACARDI CARTA BLANCA RUM,1000,184.4,9,1174.00,0.000,0.000,"8902136020100"
554,RUM,BACARDI CARTA BLANCA RUM,750,184.1,12,912.00,0.000,0.010,"8902136020018"
555,RUM,BACARDI CARTA BLANCA RUM,375,184.2,24,482.00,0.000,0.009,"8902136020025"
556,RUM,BACARDI CARTA BLANCA RUM,180,184.3,48,226.00,0.000,0.022,"8902136020032"
